ccaa,technology,status,grid,capacidad_acceso_mw,potencia_instalada_mw
Andalucía,almacenamiento,Con permisos,RdD,821.0,1195.0
Andalucía,almacenamiento,Con permisos,RdT,941.0,2988.0
Andalucía,almacenamiento,En curso,RdD,84.9,195.12
Andalucía,almacenamiento,En curso,RdT,1539.18,1929.11
Andalucía,almacenamiento,Puesta en servicio,RdD,1.89,2.49
Andalucía,almacenamiento,Puesta en servicio,RdT,,
Andalucía,bombeo,Con permisos,RdD,,
Andalucía,bombeo,Con permisos,RdT,356.0,356.0
Andalucía,bombeo,En curso,RdD,,
Andalucía,bombeo,En curso,RdT,150.0,150.0
Andalucía,bombeo,Puesta en servicio,RdD,,
Andalucía,bombeo,Puesta en servicio,RdT,570.0,584.87
Andalucía,eolica,Con permisos,RdD,239.0,476.0
Andalucía,eolica,Con permisos,RdT,1173.0,1483.0
Andalucía,eolica,En curso,RdD,96.4,96.4
Andalucía,eolica,En curso,RdT,544.2,625.03
Andalucía,eolica,Puesta en servicio,RdD,830.31,1078.01
Andalucía,eolica,Puesta en servicio,RdT,1784.47,2447.52
Andalucía,fotovoltaica,Con permisos,RdD,3892.0,4627.0
Andalucía,fotovoltaica,Con permisos,RdT,7567.0,10426.0
Andalucía,fotovoltaica,En curso,RdD,1736.08,1680.48
Andalucía,fotovoltaica,En curso,RdT,1238.0,2149.13
Andalucía,fotovoltaica,Puesta en servicio,RdD,2439.6,3101.2
Andalucía,fotovoltaica,Puesta en servicio,RdT,4697.18,7598.66
Andalucía,hibridacion,Con permisos,RdD,231.0,
Andalucía,hibridacion,Con permisos,RdT,802.0,
Andalucía,hibridacion,En curso,RdD,125.2,
Andalucía,hibridacion,En curso,RdT,759.2,
Andalucía,hibridacion,Puesta en servicio,RdD,613.63,
Andalucía,hibridacion,Puesta en servicio,RdT,3092.77,
Andalucía,hidraulica,Con permisos,RdD,7.0,8.0
Andalucía,hidraulica,Con permisos,RdT,,
Andalucía,hidraulica,Puesta en servicio,RdD,572.53,572.53
Andalucía,hidraulica,Puesta en servicio,RdT,,34.1
Andalucía,otras,Con permisos,RdD,60.0,61.0
Andalucía,otras,Con permisos,RdT,,
Andalucía,otras,En curso,RdD,,
Andalucía,otras,En curso,RdT,2286.16,2706.63
Andalucía,otras,Puesta en servicio,RdD,1012.94,1022.93
Andalucía,otras,Puesta en servicio,RdT,5770.67,6762.2
Andalucía,termosolar,Con permisos,RdD,,31.0
Andalucía,termosolar,Con permisos,RdT,,
Andalucía,termosolar,Puesta en servicio,RdD,266.9,266.9
Andalucía,termosolar,Puesta en servicio,RdT,549.6,699.6
Aragón,almacenamiento,Con permisos,RdD,,429.0
Aragón,almacenamiento,Con permisos,RdT,258.0,1346.0
Aragón,almacenamiento,En curso,RdD,,
Aragón,almacenamiento,En curso,RdT,929.77,1074.77
Aragón,bombeo,Puesta en servicio,RdD,,
Aragón,bombeo,Puesta en servicio,RdT,221.4,219.14
Aragón,eolica,Con permisos,RdD,376.0,616.0
Aragón,eolica,Con permisos,RdT,2559.0,5712.0
Aragón,eolica,En curso,RdD,,
Aragón,eolica,En curso,RdT,907.23,1082.8
Aragón,eolica,Puesta en servicio,RdD,1322.37,1657.33
Aragón,eolica,Puesta en servicio,RdT,2512.5,3673.04
Aragón,fotovoltaica,Con permisos,RdD,819.0,1316.0
Aragón,fotovoltaica,Con permisos,RdT,4928.0,8391.0
Aragón,fotovoltaica,En curso,RdD,,
Aragón,fotovoltaica,En curso,RdT,837.17,1142.53
Aragón,fotovoltaica,Puesta en servicio,RdD,846.64,1443.64
Aragón,fotovoltaica,Puesta en servicio,RdT,518.92,2144.76
Aragón,hibridacion,Con permisos,RdD,197.0,
Aragón,hibridacion,Con permisos,RdT,2293.0,
Aragón,hibridacion,En curso,RdD,,
Aragón,hibridacion,En curso,RdT,928.96,
Aragón,hibridacion,Puesta en servicio,RdD,894.93,
Aragón,hibridacion,Puesta en servicio,RdT,3571.74,
Aragón,hidraulica,Con permisos,RdD,10.0,13.0
Aragón,hidraulica,Con permisos,RdT,,
Aragón,hidraulica,Puesta en servicio,RdD,706.22,706.22
Aragón,hidraulica,Puesta en servicio,RdT,670.36,674.99
Aragón,otras,Con permisos,RdD,62.0,118.0
Aragón,otras,Con permisos,RdT,,
Aragón,otras,En curso,RdD,,
Aragón,otras,En curso,RdT,,790.68
Aragón,otras,Puesta en servicio,RdD,435.92,493.56
Aragón,otras,Puesta en servicio,RdT,1081.66,2160.31
Asturias,almacenamiento,Con permisos,RdD,823.0,886.0
Asturias,almacenamiento,Con permisos,RdT,130.0,130.0
Asturias,almacenamiento,En curso,RdD,382.77,403.59
Asturias,almacenamiento,En curso,RdT,74.0,74.0
Asturias,bombeo,Con permisos,RdD,,
Asturias,bombeo,Con permisos,RdT,247.0,265.0
Asturias,eolica,Con permisos,RdD,341.0,348.0
Asturias,eolica,Con permisos,RdT,315.0,315.0
Asturias,eolica,En curso,RdD,122.0,122.0
Asturias,eolica,En curso,RdT,,
Asturias,eolica,Puesta en servicio,RdD,697.08,697.08
Asturias,eolica,Puesta en servicio,RdT,,
Asturias,fotovoltaica,Con permisos,RdD,27.0,27.0
Asturias,fotovoltaica,Con permisos,RdT,,
Asturias,fotovoltaica,En curso,RdD,39.6,44.6
Asturias,fotovoltaica,En curso,RdT,,
Asturias,hibridacion,Con permisos,RdD,8.0,
Asturias,hibridacion,Con permisos,RdT,,
Asturias,hidraulica,Con permisos,RdD,5.0,5.0
Asturias,hidraulica,Con permisos,RdT,,
Asturias,hidraulica,En curso,RdD,,15.2
Asturias,hidraulica,En curso,RdT,,
Asturias,hidraulica,Puesta en servicio,RdD,867.54,867.54
Asturias,hidraulica,Puesta en servicio,RdT,,
Asturias,otras,Con permisos,RdD,,
Asturias,otras,Con permisos,RdT,50.0,50.0
Asturias,otras,En curso,RdD,15.2,
Asturias,otras,En curso,RdT,904.17,1250.42
Asturias,otras,Puesta en servicio,RdD,165.6,521.21
Asturias,otras,Puesta en servicio,RdT,1410.37,1762.31
Baleares,almacenamiento,Con permisos,RdD,556.0,687.0
Baleares,almacenamiento,Con permisos,RdT,278.0,463.0
Baleares,almacenamiento,En curso,RdD,18.6,18.85
Baleares,almacenamiento,En curso,RdT,116.0,116.0
Baleares,almacenamiento,Puesta en servicio,RdD,,1.2
Baleares,almacenamiento,Puesta en servicio,RdT,,
Baleares,eolica,Puesta en servicio,RdD,3.2,3.2
Baleares,eolica,Puesta en servicio,RdT,,
Baleares,fotovoltaica,Con permisos,RdD,481.0,746.0
Baleares,fotovoltaica,Con permisos,RdT,236.0,403.0
Baleares,fotovoltaica,En curso,RdD,15.0,18.0
Baleares,fotovoltaica,En curso,RdT,32.0,45.72
Baleares,fotovoltaica,Puesta en servicio,RdD,239.04,284.68
Baleares,fotovoltaica,Puesta en servicio,RdT,78.82,84.92
Baleares,hibridacion,Con permisos,RdD,142.0,
Baleares,hibridacion,Con permisos,RdT,132.0,
Baleares,hibridacion,Puesta en servicio,RdD,22.72,
Baleares,hibridacion,Puesta en servicio,RdT,34.1,
Baleares,otras,Con permisos,RdD,2.0,2.0
Baleares,otras,Con permisos,RdT,,
Baleares,otras,Puesta en servicio,RdD,16.7,16.7
Baleares,otras,Puesta en servicio,RdT,1729.51,1873.88
Canarias,almacenamiento,Con permisos,RdD,575.0,695.0
Canarias,almacenamiento,Con permisos,RdT,138.0,244.0
Canarias,almacenamiento,Puesta en servicio,RdD,4.0,4.0
Canarias,almacenamiento,Puesta en servicio,RdT,,5.08
Canarias,eolica,Con permisos,RdD,90.0,128.0
Canarias,eolica,Con permisos,RdT,198.0,223.0
Canarias,eolica,En curso,RdD,,
Canarias,eolica,En curso,RdT,8.4,8.4
Canarias,eolica,Puesta en servicio,RdD,134.56,160.51
Canarias,eolica,Puesta en servicio,RdT,368.07,483.22
Canarias,fotovoltaica,Con permisos,RdD,270.0,367.0
Canarias,fotovoltaica,Con permisos,RdT,118.0,214.0
Canarias,fotovoltaica,En curso,RdD,3.0,3.23
Canarias,fotovoltaica,En curso,RdT,18.6,22.0
Canarias,fotovoltaica,Puesta en servicio,RdD,139.38,145.46
Canarias,fotovoltaica,Puesta en servicio,RdT,90.13,152.38
Canarias,hibridacion,Con permisos,RdD,53.0,
Canarias,hibridacion,Con permisos,RdT,31.0,
Canarias,hibridacion,Puesta en servicio,RdD,25.85,
Canarias,hibridacion,Puesta en servicio,RdT,149.95,
Canarias,hidraulica,Con permisos,RdD,11.0,11.0
Canarias,hidraulica,Con permisos,RdT,,
Canarias,hidraulica,Puesta en servicio,RdD,0.76,0.76
Canarias,hidraulica,Puesta en servicio,RdT,,
Canarias,otras,Con permisos,RdD,,13.0
Canarias,otras,Con permisos,RdT,,102.0
Canarias,otras,Puesta en servicio,RdD,9.57,7.27
Canarias,otras,Puesta en servicio,RdT,2566.15,2334.18
Cantabria,almacenamiento,Con permisos,RdD,160.0,175.0
Cantabria,almacenamiento,Con permisos,RdT,167.0,339.0
Cantabria,almacenamiento,En curso,RdD,105.0,105.0
Cantabria,almacenamiento,En curso,RdT,,
