ccaa,technology,status,grid,capacidad_acceso_mw,potencia_instalada_mw
Andalucía,almacenamiento,Con permisos,RdD,821.0,1248.0
Andalucía,almacenamiento,Con permisos,RdT,941.0,3078.0
Andalucía,almacenamiento,En curso,RdD,84.9,195.12
Andalucía,almacenamiento,En curso,RdT,1275.56,1620.56
Andalucía,almacenamiento,Puesta en servicio,RdD,,0.6
Andalucía,almacenamiento,Puesta en servicio,RdT,,
Andalucía,bombeo,Con permisos,RdD,,
Andalucía,bombeo,Con permisos,RdT,356.0,356.0
Andalucía,bombeo,En curso,RdD,,
Andalucía,bombeo,En curso,RdT,150.0,150.0
Andalucía,bombeo,Puesta en servicio,RdD,,
Andalucía,bombeo,Puesta en servicio,RdT,570.0,584.87
Andalucía,eolica,Con permisos,RdD,239.0,476.0
Andalucía,eolica,Con permisos,RdT,1135.0,1443.0
Andalucía,eolica,En curso,RdD,96.4,96.4
Andalucía,eolica,En curso,RdT,510.2,579.03
Andalucía,eolica,Puesta en servicio,RdD,830.31,1078.01
Andalucía,eolica,Puesta en servicio,RdT,1822.47,2488.02
Andalucía,fotovoltaica,Con permisos,RdD,3637.0,4371.0
Andalucía,fotovoltaica,Con permisos,RdT,7409.0,10229.0
Andalucía,fotovoltaica,En curso,RdD,1751.66,1696.06
Andalucía,fotovoltaica,En curso,RdT,1048.05,1909.51
Andalucía,fotovoltaica,Puesta en servicio,RdD,2539.44,3236.8
Andalucía,fotovoltaica,Puesta en servicio,RdT,4636.04,7598.69
Andalucía,hibridacion,Con permisos,RdD,250.0,
Andalucía,hibridacion,Con permisos,RdT,831.0,
Andalucía,hibridacion,En curso,RdD,125.2,
Andalucía,hibridacion,En curso,RdT,719.2,
Andalucía,hibridacion,Puesta en servicio,RdD,634.63,
Andalucía,hibridacion,Puesta en servicio,RdT,3153.91,
Andalucía,hidraulica,Con permisos,RdD,7.0,8.0
Andalucía,hidraulica,Con permisos,RdT,,
Andalucía,hidraulica,Puesta en servicio,RdD,572.53,572.53
Andalucía,hidraulica,Puesta en servicio,RdT,,34.1
Andalucía,otras,Con permisos,RdD,60.0,61.0
Andalucía,otras,Con permisos,RdT,,
Andalucía,otras,En curso,RdD,,
Andalucía,otras,En curso,RdT,2286.16,2706.63
Andalucía,otras,Puesta en servicio,RdD,1012.94,1022.93
Andalucía,otras,Puesta en servicio,RdT,5770.67,6762.2
Andalucía,termosolar,Con permisos,RdD,,31.0
Andalucía,termosolar,Con permisos,RdT,,
Andalucía,termosolar,Puesta en servicio,RdD,266.9,266.9
Andalucía,termosolar,Puesta en servicio,RdT,549.6,699.6
Aragón,almacenamiento,Con permisos,RdD,,431.0
Aragón,almacenamiento,Con permisos,RdT,209.0,1310.0
Aragón,almacenamiento,En curso,RdD,,
Aragón,almacenamiento,En curso,RdT,825.78,926.78
Aragón,bombeo,Puesta en servicio,RdD,,
Aragón,bombeo,Puesta en servicio,RdT,221.4,219.14
Aragón,eolica,Con permisos,RdD,376.0,616.0
Aragón,eolica,Con permisos,RdT,2433.0,4979.0
Aragón,eolica,En curso,RdD,,
Aragón,eolica,En curso,RdT,847.89,942.09
Aragón,eolica,Puesta en servicio,RdD,1322.37,1657.33
Aragón,eolica,Puesta en servicio,RdT,2602.5,3765.94
Aragón,fotovoltaica,Con permisos,RdD,780.0,1265.0
Aragón,fotovoltaica,Con permisos,RdT,4888.0,8377.0
Aragón,fotovoltaica,En curso,RdD,,
Aragón,fotovoltaica,En curso,RdT,837.17,1080.61
Aragón,fotovoltaica,Puesta en servicio,RdD,873.18,1479.64
Aragón,fotovoltaica,Puesta en servicio,RdT,518.92,2144.76
Aragón,hibridacion,Con permisos,RdD,197.0,
Aragón,hibridacion,Con permisos,RdT,2333.0,
Aragón,hibridacion,En curso,RdD,,
Aragón,hibridacion,En curso,RdT,847.59,
Aragón,hibridacion,Puesta en servicio,RdD,899.93,
Aragón,hibridacion,Puesta en servicio,RdT,3571.74,
Aragón,hidraulica,Con permisos,RdD,10.0,13.0
Aragón,hidraulica,Con permisos,RdT,,
Aragón,hidraulica,Puesta en servicio,RdD,706.22,706.22
Aragón,hidraulica,Puesta en servicio,RdT,670.36,674.99
Aragón,otras,Con permisos,RdD,62.0,118.0
Aragón,otras,Con permisos,RdT,26.0,26.0
Aragón,otras,En curso,RdD,,
Aragón,otras,En curso,RdT,,790.68
Aragón,otras,Puesta en servicio,RdD,435.91,493.55
Aragón,otras,Puesta en servicio,RdT,1031.76,2110.41
Asturias,almacenamiento,Con permisos,RdD,798.0,861.0
Asturias,almacenamiento,Con permisos,RdT,,
Asturias,almacenamiento,En curso,RdD,356.77,370.75
Asturias,almacenamiento,En curso,RdT,74.0,74.0
Asturias,bombeo,Con permisos,RdD,,
Asturias,bombeo,Con permisos,RdT,247.0,265.0
Asturias,eolica,Con permisos,RdD,341.0,348.0
Asturias,eolica,Con permisos,RdT,315.0,315.0
Asturias,eolica,En curso,RdD,122.0,122.0
Asturias,eolica,En curso,RdT,,
Asturias,eolica,Puesta en servicio,RdD,697.08,697.08
Asturias,eolica,Puesta en servicio,RdT,,
Asturias,fotovoltaica,Con permisos,RdD,27.0,27.0
Asturias,fotovoltaica,Con permisos,RdT,,
Asturias,fotovoltaica,En curso,RdD,39.6,44.6
Asturias,fotovoltaica,En curso,RdT,,
Asturias,hibridacion,Con permisos,RdD,8.0,
Asturias,hibridacion,Con permisos,RdT,,
Asturias,hidraulica,Con permisos,RdD,5.0,5.0
Asturias,hidraulica,Con permisos,RdT,,
Asturias,hidraulica,En curso,RdD,,15.2
Asturias,hidraulica,En curso,RdT,,
Asturias,hidraulica,Puesta en servicio,RdD,867.54,867.54
Asturias,hidraulica,Puesta en servicio,RdT,,
Asturias,otras,Con permisos,RdD,,
Asturias,otras,Con permisos,RdT,50.0,50.0
Asturias,otras,En curso,RdD,15.2,
Asturias,otras,En curso,RdT,904.17,1250.42
Asturias,otras,Puesta en servicio,RdD,165.6,521.21
Asturias,otras,Puesta en servicio,RdT,1410.37,1762.31
Baleares,almacenamiento,Con permisos,RdD,556.0,681.0
Baleares,almacenamiento,Con permisos,RdT,278.0,463.0
Baleares,almacenamiento,En curso,RdD,18.95,18.95
Baleares,almacenamiento,En curso,RdT,116.0,116.0
Baleares,almacenamiento,Puesta en servicio,RdD,,1.2
Baleares,almacenamiento,Puesta en servicio,RdT,,
Baleares,eolica,Puesta en servicio,RdD,3.2,3.2
Baleares,eolica,Puesta en servicio,RdT,,
Baleares,fotovoltaica,Con permisos,RdD,479.0,737.0
Baleares,fotovoltaica,Con permisos,RdT,248.0,382.0
Baleares,fotovoltaica,En curso,RdD,8.0,8.0
Baleares,fotovoltaica,En curso,RdT,,
Baleares,fotovoltaica,Puesta en servicio,RdD,241.04,286.68
Baleares,fotovoltaica,Puesta en servicio,RdT,78.82,131.42
Baleares,hibridacion,Con permisos,RdD,150.0,
Baleares,hibridacion,Con permisos,RdT,90.0,
Baleares,hibridacion,Puesta en servicio,RdD,9.52,
Baleares,hibridacion,Puesta en servicio,RdT,77.05,
Baleares,otras,Con permisos,RdD,2.0,2.0
Baleares,otras,Con permisos,RdT,,
Baleares,otras,Puesta en servicio,RdD,16.7,16.7
Baleares,otras,Puesta en servicio,RdT,1729.51,1873.88
Canarias,almacenamiento,Con permisos,RdD,570.0,689.0
Canarias,almacenamiento,Con permisos,RdT,138.0,244.0
Canarias,almacenamiento,Puesta en servicio,RdD,4.0,4.0
Canarias,almacenamiento,Puesta en servicio,RdT,,5.08
Canarias,eolica,Con permisos,RdD,85.0,120.0
Canarias,eolica,Con permisos,RdT,198.0,223.0
Canarias,eolica,En curso,RdD,,
Canarias,eolica,En curso,RdT,8.4,8.4
Canarias,eolica,Puesta en servicio,RdD,134.56,160.51
Canarias,eolica,Puesta en servicio,RdT,368.07,483.22
Canarias,fotovoltaica,Con permisos,RdD,258.0,332.0
Canarias,fotovoltaica,Con permisos,RdT,91.0,180.0
Canarias,fotovoltaica,En curso,RdD,6.18,9.24
Canarias,fotovoltaica,En curso,RdT,25.6,30.0
Canarias,fotovoltaica,Puesta en servicio,RdD,138.68,144.76
Canarias,fotovoltaica,Puesta en servicio,RdT,100.58,163.88
Canarias,hibridacion,Con permisos,RdD,38.0,
Canarias,hibridacion,Con permisos,RdT,31.0,
Canarias,hibridacion,Puesta en servicio,RdD,25.85,
Canarias,hibridacion,Puesta en servicio,RdT,149.95,
Canarias,hidraulica,Con permisos,RdD,11.0,11.0
Canarias,hidraulica,Con permisos,RdT,,
Canarias,hidraulica,Puesta en servicio,RdD,0.76,0.76
Canarias,hidraulica,Puesta en servicio,RdT,,
Canarias,otras,Con permisos,RdD,,13.0
Canarias,otras,Con permisos,RdT,,102.0
Canarias,otras,Puesta en servicio,RdD,9.57,7.27
Canarias,otras,Puesta en servicio,RdT,2566.15,2334.18
Cantabria,almacenamiento,Con permisos,RdD,160.0,175.0
Cantabria,almacenamiento,Con permisos,RdT,167.0,339.0
Cantabria,almacenamiento,En curso,RdD,105.0,105.0
Cantabria,almacenamiento,En curso,RdT,,
Cantabria,bombeo,Con permisos,RdD,,
Cantabria,bombeo,Con permisos,RdT,993.0,993.0
Cantabria,bombeo,Puesta en servicio,RdD,,
Cantabria,bombeo,Puesta en servicio,RdT,361.9,360.6
Cantabria,eolica,Con permisos,RdD,224.0,229.0
Cantabria,eolica,Con permisos,RdT,534.0,647.0
Cantabria,eolica,En curso,RdD,,
Cantabria,eolica,En curso,RdT,26.76,26.76
Cantabria,eolica,Puesta en servicio,RdD,167.8,167.8
Cantabria,eolica,Puesta en servicio,RdT,,
Cantabria,fotovoltaica,Con permisos,RdD,24.0,25.0
Cantabria,fotovoltaica,Con permisos,RdT,,
Cantabria,fotovoltaica,Puesta en servicio,RdD,11.19,11.2
Cantabria,fotovoltaica,Puesta en servicio,RdT,,
Cantabria,hibridacion,Con permisos,RdD,,
Cantabria,hibridacion,Con permisos,RdT,105.0,
Cantabria,hidraulica,Puesta en servicio,RdD,103.41,103.41
Cantabria,hidraulica,Puesta en servicio,RdT,,
Cantabria,otras,Con permisos,RdD,17.0,54.0
Cantabria,otras,Con permisos,RdT,,
Cantabria,otras,Puesta en servicio,RdD,237.63,237.63
Cantabria,otras,Puesta en servicio,RdT,175.7,175.7
Castilla La Mancha,almacenamiento,Con permisos,RdD,,129.0
Castilla La Mancha,almacenamiento,Con permisos,RdT,20.0,2175.0
Castilla La Mancha,almacenamiento,En curso,RdD,59.98,96.95
Castilla La Mancha,almacenamiento,En curso,RdT,265.3,537.47
Castilla La Mancha,almacenamiento,Puesta en servicio,RdD,,
Castilla La Mancha,almacenamiento,Puesta en servicio,RdT,,62.56
Castilla La Mancha,bombeo,Con permisos,RdD,,
Castilla La Mancha,bombeo,Con permisos,RdT,50.0,50.0
Castilla La Mancha,bombeo,Puesta en servicio,RdD,,
Castilla La Mancha,bombeo,Puesta en servicio,RdT,208.0,215.0
Castilla La Mancha,eolica,Con permisos,RdD,14.0,297.0
Castilla La Mancha,eolica,Con permisos,RdT,123.0,703.0
Castilla La Mancha,eolica,En curso,RdD,190.0,190.0
Castilla La Mancha,eolica,En curso,RdT,40.0,219.0
Castilla La Mancha,eolica,Puesta en servicio,RdD,551.77,930.29
Castilla La Mancha,eolica,Puesta en servicio,RdT,1722.82,3841.63
Castilla La Mancha,fotovoltaica,Con permisos,RdD,500.0,1225.0
Castilla La Mancha,fotovoltaica,Con permisos,RdT,1653.0,4097.0
Castilla La Mancha,fotovoltaica,En curso,RdD,993.07,1106.79
Castilla La Mancha,fotovoltaica,En curso,RdT,876.68,1880.47
Castilla La Mancha,fotovoltaica,Puesta en servicio,RdD,1223.25,1527.04
Castilla La Mancha,fotovoltaica,Puesta en servicio,RdT,2593.04,6546.65
Castilla La Mancha,hibridacion,Con permisos,RdD,479.0,
Castilla La Mancha,hibridacion,Con permisos,RdT,488.0,
Castilla La Mancha,hibridacion,En curso,RdD,60.15,
Castilla La Mancha,hibridacion,En curso,RdT,822.8,
Castilla La Mancha,hibridacion,Puesta en servicio,RdD,404.97,
Castilla La Mancha,hibridacion,Puesta en servicio,RdT,5182.64,
Castilla La Mancha,hidraulica,Puesta en servicio,RdD,384.37,384.37
Castilla La Mancha,hidraulica,Puesta en servicio,RdT,,148.1
Castilla La Mancha,otras,Con permisos,RdD,25.0,117.0
Castilla La Mancha,otras,Con permisos,RdT,50.0,50.0
Castilla La Mancha,otras,En curso,RdD,19.98,
Castilla La Mancha,otras,En curso,RdT,,
Castilla La Mancha,otras,Puesta en servicio,RdD,518.88,450.07
Castilla La Mancha,otras,Puesta en servicio,RdT,1617.35,1812.15
Castilla La Mancha,termosolar,Puesta en servicio,RdD,,
Castilla La Mancha,termosolar,Puesta en servicio,RdT,347.4,349.4
Castilla y León,almacenamiento,Con permisos,RdD,1.0,103.0
Castilla y León,almacenamiento,Con permisos,RdT,313.0,1944.0
Castilla y León,almacenamiento,En curso,RdD,29.49,35.09
Castilla y León,almacenamiento,En curso,RdT,2282.32,2366.82
Castilla y León,almacenamiento,Puesta en servicio,RdD,,
Castilla y León,almacenamiento,Puesta en servicio,RdT,,39.78
Castilla y León,bombeo,Con permisos,RdD,,
Castilla y León,bombeo,Con permisos,RdT,679.0,679.0
Castilla y León,bombeo,En curso,RdD,,
Castilla y León,bombeo,En curso,RdT,985.0,985.0
Castilla y León,bombeo,Puesta en servicio,RdD,,
Castilla y León,bombeo,Puesta en servicio,RdT,1305.5,1344.47
Castilla y León,eolica,Con permisos,RdD,115.0,221.0
Castilla y León,eolica,Con permisos,RdT,2009.0,3399.0
Castilla y León,eolica,En curso,RdD,258.21,340.68
Castilla y León,eolica,En curso,RdT,5724.95,5987.07
Castilla y León,eolica,Puesta en servicio,RdD,835.94,991.62
Castilla y León,eolica,Puesta en servicio,RdT,4081.76,6555.9
Castilla y León,fotovoltaica,Con permisos,RdD,279.0,531.0
Castilla y León,fotovoltaica,Con permisos,RdT,6447.0,10949.0
Castilla y León,fotovoltaica,En curso,RdD,265.2,358.53
Castilla y León,fotovoltaica,En curso,RdT,2844.21,3419.54
Castilla y León,fotovoltaica,Puesta en servicio,RdD,1390.88,1636.39
Castilla y León,fotovoltaica,Puesta en servicio,RdT,2093.24,4078.78
Castilla y León,hibridacion,Con permisos,RdD,93.0,
Castilla y León,hibridacion,Con permisos,RdT,1934.0,
Castilla y León,hibridacion,En curso,RdD,7.39,
Castilla y León,hibridacion,En curso,RdT,315.33,
Castilla y León,hibridacion,Puesta en servicio,RdD,308.37,
Castilla y León,hibridacion,Puesta en servicio,RdT,3634.54,
Castilla y León,hidraulica,Con permisos,RdD,4.0,4.0
Castilla y León,hidraulica,Con permisos,RdT,,
Castilla y León,hidraulica,Puesta en servicio,RdD,346.43,353.51
Castilla y León,hidraulica,Puesta en servicio,RdT,1968.8,2040.31
Castilla y León,otras,Con permisos,RdD,63.0,77.0
Castilla y León,otras,Con permisos,RdT,48.0,49.0
Castilla y León,otras,En curso,RdD,20.0,29.39
Castilla y León,otras,En curso,RdT,,
Castilla y León,otras,Puesta en servicio,RdD,625.89,632.05
Castilla y León,otras,Puesta en servicio,RdT,16.0,16.0
Cataluña,almacenamiento,Con permisos,RdD,1357.0,1533.0
Cataluña,almacenamiento,Con permisos,RdT,1549.0,1651.0
Cataluña,almacenamiento,En curso,RdD,265.9,278.59
Cataluña,almacenamiento,En curso,RdT,1879.38,1950.89
Cataluña,bombeo,Puesta en servicio,RdD,,
Cataluña,bombeo,Puesta en servicio,RdT,534.0,532.26
Cataluña,eolica,Con permisos,RdD,152.0,154.0
Cataluña,eolica,Con permisos,RdT,1051.0,1264.0
Cataluña,eolica,En curso,RdD,169.65,169.65
Cataluña,eolica,En curso,RdT,147.0,147.0
Cataluña,eolica,Puesta en servicio,RdD,166.13,166.13
Cataluña,eolica,Puesta en servicio,RdT,985.62,1184.52
Cataluña,fotovoltaica,Con permisos,RdD,1807.0,2103.0
Cataluña,fotovoltaica,Con permisos,RdT,1143.0,1570.0
Cataluña,fotovoltaica,En curso,RdD,311.79,327.09
Cataluña,fotovoltaica,En curso,RdT,480.67,486.23
Cataluña,fotovoltaica,Puesta en servicio,RdD,203.32,239.1
Cataluña,fotovoltaica,Puesta en servicio,RdT,193.6,323.29
Cataluña,hibridacion,Con permisos,RdD,68.0,
Cataluña,hibridacion,Con permisos,RdT,199.0,
Cataluña,hibridacion,En curso,RdD,7.63,
Cataluña,hibridacion,En curso,RdT,,
Cataluña,hibridacion,Puesta en servicio,RdD,46.43,
Cataluña,hibridacion,Puesta en servicio,RdT,306.5,
Cataluña,hidraulica,Puesta en servicio,RdD,1253.9,1253.9
Cataluña,hidraulica,Puesta en servicio,RdT,467.08,464.56
Cataluña,otras,Con permisos,RdD,110.0,140.0
Cataluña,otras,Con permisos,RdT,13.0,13.0
Cataluña,otras,En curso,RdD,,
Cataluña,otras,En curso,RdT,869.68,869.68
Cataluña,otras,Puesta en servicio,RdD,723.69,732.79
Cataluña,otras,Puesta en servicio,RdT,6948.41,7024.3
Cataluña,termosolar,Puesta en servicio,RdD,22.5,22.5
Cataluña,termosolar,Puesta en servicio,RdT,,
