scope,scope_detail,technology,status,grid,capacidad_acceso_mw,potencia_instalada_mw
NACIONAL,Nacional,almacenamiento,Con permisos,RdD,5832.0,8523.0
NACIONAL,Nacional,almacenamiento,Con permisos,RdT,5158.0,24508.0
NACIONAL,Nacional,almacenamiento,En curso,RdD,3285.99,3490.4
NACIONAL,Nacional,almacenamiento,En curso,RdT,10083.92,11116.53
NACIONAL,Nacional,almacenamiento,Puesta en servicio,RdD,12.15,86.27
NACIONAL,Nacional,almacenamiento,Puesta en servicio,RdT,,176.02
NACIONAL,Nacional,bombeo,Con permisos,RdD,,
NACIONAL,Nacional,bombeo,Con permisos,RdT,2916.0,2934.0
NACIONAL,Nacional,bombeo,En curso,RdD,,
NACIONAL,Nacional,bombeo,En curso,RdT,1449.0,1449.0
NACIONAL,Nacional,bombeo,Puesta en servicio,RdD,,
NACIONAL,Nacional,bombeo,Puesta en servicio,RdT,5410.25,5486.43
NACIONAL,Nacional,eolica,Con permisos,RdD,3872.0,4960.0
NACIONAL,Nacional,eolica,Con permisos,RdT,12270.0,20986.0
NACIONAL,Nacional,eolica,En curso,RdD,1927.85,2079.29
NACIONAL,Nacional,eolica,En curso,RdT,10220.24,11174.59
NACIONAL,Nacional,eolica,Puesta en servicio,RdD,8938.39,10170.65
NACIONAL,Nacional,eolica,Puesta en servicio,RdT,14695.18,23383.7
NACIONAL,Nacional,fotovoltaica,Con permisos,RdD,12254.0,15875.0
NACIONAL,Nacional,fotovoltaica,Con permisos,RdT,29408.0,54915.0
NACIONAL,Nacional,fotovoltaica,En curso,RdD,5207.3,5662.67
NACIONAL,Nacional,fotovoltaica,En curso,RdT,8274.22,10771.79
NACIONAL,Nacional,fotovoltaica,Puesta en servicio,RdD,10006.4,13181.77
NACIONAL,Nacional,fotovoltaica,Puesta en servicio,RdT,12962.8,35441.59
NACIONAL,Nacional,hibridacion,Con permisos,RdD,1690.0,
NACIONAL,Nacional,hibridacion,Con permisos,RdT,11549.0,
NACIONAL,Nacional,hibridacion,En curso,RdD,108.97,
NACIONAL,Nacional,hibridacion,En curso,RdT,2354.31,
NACIONAL,Nacional,hibridacion,Puesta en servicio,RdD,3572.0,
NACIONAL,Nacional,hibridacion,Puesta en servicio,RdT,26005.15,
NACIONAL,Nacional,hidraulica,Con permisos,RdD,41.0,109.0
NACIONAL,Nacional,hidraulica,Con permisos,RdT,191.0,495.0
NACIONAL,Nacional,hidraulica,Puesta en servicio,RdD,3121.81,3130.05
NACIONAL,Nacional,hidraulica,Puesta en servicio,RdT,6402.18,6908.14
NACIONAL,Nacional,otras,Con permisos,RdD,466.0,762.0
NACIONAL,Nacional,otras,Con permisos,RdT,199.0,787.0
NACIONAL,Nacional,otras,En curso,RdD,20.0,22.0
NACIONAL,Nacional,otras,En curso,RdT,4879.3,5667.34
NACIONAL,Nacional,otras,Puesta en servicio,RdD,9040.62,9588.08
NACIONAL,Nacional,otras,Puesta en servicio,RdT,33952.92,42260.47
NACIONAL,Nacional,termosolar,Con permisos,RdD,50.0,81.0
NACIONAL,Nacional,termosolar,Con permisos,RdT,,
NACIONAL,Nacional,termosolar,Puesta en servicio,RdD,520.5,570.5
NACIONAL,Nacional,termosolar,Puesta en servicio,RdT,1147.0,1698.6
PENINSULAR,Peninsular,almacenamiento,Con permisos,RdD,4626.0,7076.0
PENINSULAR,Peninsular,almacenamiento,Con permisos,RdT,4315.0,23283.0
PENINSULAR,Peninsular,almacenamiento,En curso,RdD,3170.04,3366.45
PENINSULAR,Peninsular,almacenamiento,En curso,RdT,9975.92,10988.53
PENINSULAR,Peninsular,almacenamiento,Puesta en servicio,RdD,8.15,74.84
PENINSULAR,Peninsular,almacenamiento,Puesta en servicio,RdT,,170.94
PENINSULAR,Peninsular,bombeo,Con permisos,RdD,,
PENINSULAR,Peninsular,bombeo,Con permisos,RdT,2916.0,2934.0
PENINSULAR,Peninsular,bombeo,En curso,RdD,,
PENINSULAR,Peninsular,bombeo,En curso,RdT,1449.0,1449.0
PENINSULAR,Peninsular,bombeo,Puesta en servicio,RdD,,
PENINSULAR,Peninsular,bombeo,Puesta en servicio,RdT,4876.25,4954.17
PENINSULAR,Peninsular,eolica,Con permisos,RdD,3714.0,4767.0
PENINSULAR,Peninsular,eolica,Con permisos,RdT,11945.0,20479.0
PENINSULAR,Peninsular,eolica,En curso,RdD,1810.65,1962.09
PENINSULAR,Peninsular,eolica,En curso,RdT,10185.84,11130.79
PENINSULAR,Peninsular,eolica,Puesta en servicio,RdD,8796.13,10002.44
PENINSULAR,Peninsular,eolica,Puesta en servicio,RdT,13857.62,22213.44
PENINSULAR,Peninsular,fotovoltaica,Con permisos,RdD,10905.0,14161.0
PENINSULAR,Peninsular,fotovoltaica,Con permisos,RdT,28586.0,53606.0
PENINSULAR,Peninsular,fotovoltaica,En curso,RdD,4862.28,5310.93
PENINSULAR,Peninsular,fotovoltaica,En curso,RdT,8267.22,10762.73
PENINSULAR,Peninsular,fotovoltaica,Puesta en servicio,RdD,9572.4,12672.8
PENINSULAR,Peninsular,fotovoltaica,Puesta en servicio,RdT,12631.32,34806.91
PENINSULAR,Peninsular,hibridacion,Con permisos,RdD,1542.0,
PENINSULAR,Peninsular,hibridacion,Con permisos,RdT,11284.0,
PENINSULAR,Peninsular,hibridacion,En curso,RdD,108.97,
PENINSULAR,Peninsular,hibridacion,En curso,RdT,2334.31,
PENINSULAR,Peninsular,hibridacion,Puesta en servicio,RdD,3509.29,
PENINSULAR,Peninsular,hibridacion,Puesta en servicio,RdT,25416.43,
PENINSULAR,Peninsular,hidraulica,Con permisos,RdD,30.0,98.0
PENINSULAR,Peninsular,hidraulica,Con permisos,RdT,191.0,495.0
PENINSULAR,Peninsular,hidraulica,Puesta en servicio,RdD,3121.81,3130.05
PENINSULAR,Peninsular,hidraulica,Puesta en servicio,RdT,6196.9,6704.86
PENINSULAR,Peninsular,otras,Con permisos,RdD,379.0,659.0
PENINSULAR,Peninsular,otras,Con permisos,RdT,199.0,685.0
PENINSULAR,Peninsular,otras,En curso,RdD,20.0,22.0
PENINSULAR,Peninsular,otras,En curso,RdT,4538.06,5314.2
PENINSULAR,Peninsular,otras,Puesta en servicio,RdD,7851.58,8399.04
PENINSULAR,Peninsular,otras,Puesta en servicio,RdT,29609.6,38004.75
PENINSULAR,Peninsular,termosolar,Con permisos,RdD,50.0,81.0
PENINSULAR,Peninsular,termosolar,Con permisos,RdT,,
PENINSULAR,Peninsular,termosolar,Puesta en servicio,RdD,498.0,548.0
PENINSULAR,Peninsular,termosolar,Puesta en servicio,RdT,1147.0,1698.6
