node_id,node_name,ccaa,provincia,municipio,voltage,lat,lng,technology,status,grid,capacidad_acceso_mw,potencia_instalada_mw
6682.0,BENAHADUX 220,Andalucía,Almería,Benahadux,220.0,36.908045235882,-2.4654367931319,almacenamiento,Con permisos,RdD,,4.0
6682.0,BENAHADUX 220,Andalucía,Almería,Benahadux,220.0,36.908045235882,-2.4654367931319,almacenamiento,Con permisos,RdT,,
6682.0,BENAHADUX 220,Andalucía,Almería,Benahadux,220.0,36.908045235882,-2.4654367931319,fotovoltaica,Con permisos,RdD,72.0,82.0
6682.0,BENAHADUX 220,Andalucía,Almería,Benahadux,220.0,36.908045235882,-2.4654367931319,fotovoltaica,Con permisos,RdT,,
6682.0,BENAHADUX 220,Andalucía,Almería,Benahadux,220.0,36.908045235882,-2.4654367931319,fotovoltaica,Puesta en servicio,RdD,25.0,30.46
6682.0,BENAHADUX 220,Andalucía,Almería,Benahadux,220.0,36.908045235882,-2.4654367931319,fotovoltaica,Puesta en servicio,RdT,,
6682.0,BENAHADUX 220,Andalucía,Almería,Benahadux,220.0,36.908045235882,-2.4654367931319,hibridacion,Puesta en servicio,RdD,4.33,
6682.0,BENAHADUX 220,Andalucía,Almería,Benahadux,220.0,36.908045235882,-2.4654367931319,hibridacion,Puesta en servicio,RdT,,
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,almacenamiento,Con permisos,RdD,,
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,almacenamiento,Con permisos,RdT,378.0,427.0
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,almacenamiento,En curso,RdD,,
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,almacenamiento,En curso,RdT,25.0,25.0
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,bombeo,En curso,RdD,,
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,bombeo,En curso,RdT,50.0,50.0
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,eolica,Con permisos,RdD,,
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,eolica,Con permisos,RdT,111.0,117.0
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,eolica,Puesta en servicio,RdD,13.2,13.2
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,eolica,Puesta en servicio,RdT,,
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,fotovoltaica,Con permisos,RdD,12.0,15.0
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,fotovoltaica,Con permisos,RdT,45.0,75.0
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,fotovoltaica,Puesta en servicio,RdD,15.35,16.21
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,fotovoltaica,Puesta en servicio,RdT,,
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,hibridacion,Con permisos,RdD,,
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,hibridacion,Con permisos,RdT,49.0,
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,otras,Puesta en servicio,RdD,3.22,3.22
7331.0,BERJA 220,Andalucía,Almería,Berja,220.0,36.834340327367,-2.92049536137,otras,Puesta en servicio,RdT,,
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,almacenamiento,Con permisos,RdD,,53.0
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,almacenamiento,Con permisos,RdT,,
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,eolica,Con permisos,RdD,86.0,119.0
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,eolica,Con permisos,RdT,,
