zone,zone_detail,node_id,node_name,voltage,lat,lng,section,technology,technology_label,status,grid,value_mw
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdT,10315.91
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdD,1801.44
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdT,12884
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdD,3901
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdT,15066.19
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdD,8986.89
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdT,9148.91
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdD,5318.11
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdT,36454
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdD,13079
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdT,13921.17
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdD,10111.78
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdT,11069.12
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdD,3246.35
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdT,4943
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdD,5959
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,Puesta en servicio,RdT,
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,Puesta en servicio,RdD,12.15
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdT,2835.69
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdD,233.97
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdT,9508
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdD,1436
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdT,21059.85
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdD,2932.55
NACIONAL,Nacional,,,,,,capacidad_acceso,termosolar,Termosolar,Con permisos,RdT,
NACIONAL,Nacional,,,,,,capacidad_acceso,termosolar,Termosolar,Con permisos,RdD,50
NACIONAL,Nacional,,,,,,capacidad_acceso,termosolar,Termosolar,Puesta en servicio,RdT,1246.8
NACIONAL,Nacional,,,,,,capacidad_acceso,termosolar,Termosolar,Puesta en servicio,RdD,520.5
NACIONAL,Nacional,,,,,,capacidad_acceso,hidraulica,Hidráulica,Con permisos,RdT,191
NACIONAL,Nacional,,,,,,capacidad_acceso,hidraulica,Hidráulica,Con permisos,RdD,47
NACIONAL,Nacional,,,,,,capacidad_acceso,hidraulica,Hidráulica,Puesta en servicio,RdT,6402.18
NACIONAL,Nacional,,,,,,capacidad_acceso,hidraulica,Hidráulica,Puesta en servicio,RdD,6023.85
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,En curso,RdT,1285
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,En curso,RdD,
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,Con permisos,RdT,2797
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,Con permisos,RdD,
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,Puesta en servicio,RdT,5377.85
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,Puesta en servicio,RdD,
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,En curso,RdT,4573.56
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,En curso,RdD,55.18
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,Con permisos,RdT,199
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,Con permisos,RdD,530
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,Puesta en servicio,RdT,35401.69
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,Puesta en servicio,RdD,6351.02
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,En curso,RdT,11043.06
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,En curso,RdD,1981.08
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,Con permisos,RdT,18589
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,Con permisos,RdD,4947
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,Puesta en servicio,RdT,22317.05
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,Puesta en servicio,RdD,10199.95
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,En curso,RdT,12229.24
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,En curso,RdD,5921.44
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Con permisos,RdT,55787
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Con permisos,RdD,16760
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Puesta en servicio,RdT,29431.68
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Puesta en servicio,RdD,12752.17
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,En curso,RdT,12207.05
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,En curso,RdD,3584.03
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,Con permisos,RdT,17969
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,Con permisos,RdD,8038
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,Puesta en servicio,RdT,111.6
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,Puesta en servicio,RdD,80.04
NACIONAL,Nacional,,,,,,potencia_instalada,termosolar,Termosolar,Con permisos,RdT,
NACIONAL,Nacional,,,,,,potencia_instalada,termosolar,Termosolar,Con permisos,RdD,81
NACIONAL,Nacional,,,,,,potencia_instalada,termosolar,Termosolar,Puesta en servicio,RdT,1698.6
NACIONAL,Nacional,,,,,,potencia_instalada,termosolar,Termosolar,Puesta en servicio,RdD,570.5
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,En curso,RdT,3.5
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,En curso,RdD,15.2
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,Con permisos,RdT,495
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,Con permisos,RdD,101
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,Puesta en servicio,RdT,6908.14
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,Puesta en servicio,RdD,6030.93
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,En curso,RdT,1285
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,En curso,RdD,
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,Con permisos,RdT,2816
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,Con permisos,RdD,
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,Puesta en servicio,RdT,5454.03
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,Puesta en servicio,RdD,
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,En curso,RdT,6104.88
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,En curso,RdD,79.39
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,Con permisos,RdT,702
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,Con permisos,RdD,780
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,Puesta en servicio,RdT,39326.38
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,Puesta en servicio,RdD,6773.22
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdT,10307.51
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdD,1801.44
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdT,12686
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdD,3816
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdT,14698.12
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdD,8849.13
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdT,9123.31
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdD,5303.93
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdT,36115
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdD,12342
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdT,13741.77
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdD,9732.06
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdT,10953.12
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdD,3227.4
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdT,4527
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdD,4833
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,Puesta en servicio,RdT,
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,Puesta en servicio,RdD,8.15
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdT,2835.69
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdD,233.97
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdT,9387
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdD,1248
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdT,20832.85
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdD,2897.18
PENINSULAR,Peninsular,,,,,,capacidad_acceso,termosolar,Termosolar,Con permisos,RdT,
PENINSULAR,Peninsular,,,,,,capacidad_acceso,termosolar,Termosolar,Con permisos,RdD,50
